X1 lower, X1 upper, X3 lower, X3 upper, Result, Total Time, DNN Time, Num Branches, Num Flowpipes
-0.526600, -0.526550, 0.300000, 2.000000, SAFE, 44748.395911, 23535.208984, 2, 1694
-0.526050, -0.526000, 0.300000, 2.000000, SAFE, 44581.612074, 23351.875000, 2, 1694
-0.526000, -0.525950, 0.300000, 2.000000, SAFE, 44390.767790, 23247.003906, 2, 1694
-0.525950, -0.525900, 0.300000, 2.000000, SAFE, 44757.882215, 23315.363281, 2, 1694
-0.525350, -0.525300, 0.300000, 2.000000, SAFE, 44838.610181, 23489.005859, 2, 1694
-0.525600, -0.525550, 0.300000, 2.000000, SAFE, 44703.625299, 23375.720703, 2, 1694
-0.525900, -0.525850, 0.300000, 2.000000, SAFE, 44768.636071, 23597.601562, 2, 1694
-0.527800, -0.527750, 0.300000, 2.000000, SAFE, 44861.772854, 23697.976562, 1, 1693
-0.526300, -0.526250, 0.300000, 2.000000, SAFE, 44860.373987, 23485.435547, 2, 1694
-0.527200, -0.527150, 0.300000, 2.000000, SAFE, 44703.314039, 23474.912109, 1, 1693
-0.527600, -0.527550, 0.300000, 2.000000, SAFE, 44645.980743, 23423.867188, 1, 1693
-0.525750, -0.525700, 0.300000, 2.000000, SAFE, 44552.138587, 23419.046875, 2, 1694
-0.525250, -0.525200, 0.300000, 2.000000, SAFE, 44700.416753, 23375.673828, 2, 1694
-0.525800, -0.525750, 0.300000, 2.000000, SAFE, 44530.989026, 23204.587891, 2, 1694
-0.528050, -0.528000, 0.300000, 2.000000, SAFE, 44560.969320, 23420.583984, 1, 1693
-0.525850, -0.525800, 0.300000, 2.000000, SAFE, 44814.908587, 23668.001953, 2, 1694
-0.527100, -0.527050, 0.300000, 2.000000, SAFE, 44502.882918, 23375.066406, 2, 1694
-0.526500, -0.526450, 0.300000, 2.000000, SAFE, 44584.813953, 23302.136719, 2, 1694
-0.525700, -0.525650, 0.300000, 2.000000, SAFE, 45018.778305, 23691.277344, 2, 1694
-0.526350, -0.526300, 0.300000, 2.000000, SAFE, 44807.677681, 23515.361328, 2, 1694
-0.527500, -0.527450, 0.300000, 2.000000, SAFE, 44538.901745, 23327.289062, 1, 1693
-0.526100, -0.526050, 0.300000, 2.000000, SAFE, 44664.803073, 23500.980469, 2, 1694
-0.527150, -0.527100, 0.300000, 2.000000, SAFE, 44864.357042, 23466.894531, 1, 1693
-0.527000, -0.526950, 0.300000, 2.000000, SAFE, 44743.181110, 23565.351562, 2, 1694
-0.527250, -0.527200, 0.300000, 2.000000, SAFE, 44604.895887, 23522.333984, 1, 1693
-0.526850, -0.526800, 0.300000, 2.000000, SAFE, 45205.233551, 24010.919922, 2, 1694
-0.526900, -0.526850, 0.300000, 2.000000, SAFE, 44609.389307, 23369.410156, 2, 1694
-0.526450, -0.526400, 0.300000, 2.000000, SAFE, 44327.961223, 23295.681641, 2, 1694
-0.527700, -0.527650, 0.300000, 2.000000, SAFE, 44898.286243, 23370.966797, 1, 1693
-0.527750, -0.527700, 0.300000, 2.000000, SAFE, 44617.155211, 23447.181641, 1, 1693
-0.526400, -0.526350, 0.300000, 2.000000, SAFE, 44625.110765, 23417.269531, 2, 1694
-0.526200, -0.526150, 0.300000, 2.000000, SAFE, 44593.693263, 23318.003906, 2, 1694
-0.526750, -0.526700, 0.300000, 2.000000, SAFE, 44420.834591, 23213.447266, 2, 1694
-0.527350, -0.527300, 0.300000, 2.000000, SAFE, 44535.690830, 23652.164062, 1, 1693
-0.527300, -0.527250, 0.300000, 2.000000, SAFE, 44419.298468, 23378.916016, 1, 1693
-0.525550, -0.525500, 0.300000, 2.000000, SAFE, 44867.907562, 23583.488281, 2, 1694
-0.525450, -0.525400, 0.300000, 2.000000, SAFE, 44849.822472, 23214.042969, 2, 1694
-0.527050, -0.527000, 0.300000, 2.000000, SAFE, 44808.601380, 23552.179688, 2, 1694
-0.525100, -0.525050, 0.300000, 2.000000, SAFE, 44430.723713, 23241.259766, 2, 1694
-0.525300, -0.525250, 0.300000, 2.000000, SAFE, 44734.557064, 23590.103516, 2, 1694
-0.526250, -0.526200, 0.300000, 2.000000, SAFE, 44753.200519, 23476.447266, 2, 1694
-0.526650, -0.526600, 0.300000, 2.000000, SAFE, 44779.873110, 23504.693359, 2, 1694
-0.527850, -0.527800, 0.300000, 2.000000, SAFE, 44746.857712, 23573.757812, 1, 1693
-0.525650, -0.525600, 0.300000, 2.000000, SAFE, 44746.346070, 23372.777344, 2, 1694
-0.527400, -0.527350, 0.300000, 2.000000, SAFE, 44895.043113, 23572.279297, 1, 1693
